,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,,,,,,,,,,ADWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,MW.Cloda28.Trojan.8539,AndroidOS/Wooboo.B,Android-Malicious/Adwo,,,,,,,,,,,,Android/Deng.HH,,,TROJ_GEN.F47V0405,,,,Android.Adware.Adwo.A (B),Adware.AndroidOS.Domob.a (v),Android Adwo,Android.Adware.Adwo.A,,Artemis!5C2F8498C5EE,,Android.Adware.Adwo.A,AndroidOS.AdWare.Wooboo,,Adware:Android/AdWo,,,Android.Adware.Adwo.A,Android.Adware.Adwo.A,Artemis!5C2F8498C5EE,Adware/ANDR.Adwo.A.Gen,a variant of Android/Domob.E,,Trojan.Android.Domob.A,,,,Adware/Domob.A,,,,,,,,,,,,,,,
2,,Trojan:AndroidOS/GingerMaster.A,,,Android.GingerMaster.A,,,,,,,,,,,Android:GingerMaster-E [Trj],Android.Gingersploit.origin,,,Android.Gmaster,,,Trojan/win32.agent,TROJ_GEN.RCBH1GK,,,,Trojan.AndroidOS.GingerMaster!IK,Trojan.AndroidOS.GingerMaster.a (v),Andr/Gmaster-A,,,,HEUR:Backdoor.AndroidOS.GinMaster.a,,Trojan.AndroidOS.GingerMaster,UnclassifiedMalware,Trojan:Android/GinMaster.A,,,,Android:GingerMaster-E ,,Android/GinMaster.C,a variant of Android/GinMaster.C,,,,,,Android/Gmaster.A,,,,Android.Gmaster,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android Dowgin,,,,,,PUA.AndroidOS.Dowgin,,,,,,,,Adware/ANDR.Dowgin.Z.Gen,a variant of Android/AdDisplay.Dowgin.W,,,Riskware.Android.Dowgin.cyerjz,,,,,,,,,,,,,,,,,,
4,,,,,,,,AndroidOS/Kuguo.C,,,,,,,,,Adware.Kuguo.2.origin,,,,,,,,,,,Android.Adware.Kuguo.A (B),,Android Kuguo,Android.Adware.Kuguo.A,,,,Android.Adware.Kuguo.A,AndroidOS.AdWare.AirPush,,Android.Adware.Kuguo.A,,,,Android.Adware.Kuguo.A,,Adware/ANDR.AirPush.7952,a variant of Android/Adware.Kuguo.B,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trojan.Dex.FakeUpdHE.cwzghe,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan Failed... ,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,Android.SmsSend.685,,,,,,,,,,,Android.Adware.Dowgin.I (B),Adware.AndroidOS.SecAPK.a (v),,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,,a variant of Android/Secapk.C,,,Trojan.Dex.Secapk.cussul,,,Android/Secapk.A!tr,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,TROJ_GEN.F47V1230,,,,,,,,,,,,AdWare.AndroidOS.Cnzz,,,,,,,,Adware/ANDR.Cnzz.A.Gen,a variant of Android/AdDisplay.Cnzz.A,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android.Adware.Dowgin.H (B),,Android Dowgin,Android.Adware.Dowgin.H,,,,Android.Adware.Dowgin.H,,,Android.Adware.Dowgin.H,,,Android.Adware.Dowgin.H,Android.Adware.Dowgin.H,,,probably a variant of Android/Adware.Kuguo.D,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,Android-Spyware/Dowgin,,,,,,,,,,,,Android/Deng.TZ,,,TROJ_GEN.F47V0310,,,,Android.Adware.Dowgin.I (B),Trojan.AndroidOS.Generic.A,Android Kuguo,Android.Adware.Dowgin.I,,,not-a-virus:HEUR:AdWare.AndroidOS.Dowgin.c,Android.Adware.Dowgin.I,AdWare.AndroidOS.Kuguo,ApplicUnwnt,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,Adware/ANDR.Kuguo.K.Gen,probably a variant of Android/AdDisplay.Kuguo.F,,,Riskware.Dex.Kuguo.cxeybq,,,Adware/Dowgin.U,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,Android/SecApk,,,,,,,Android.Adware.Dowgin.I (B),,,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,AndroidOS.Bankun.D,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,,a variant of Android/Secapk.A,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,Android-Spyware/Dowgin,,,,,,,,,,,,Android/Deng.TC,,,Suspicious_GEN.F47V0621,,,,Android.Adware.Dowgin.I (B),Trojan.AndroidOS.Generic.A,Android Dowgin,Android.Adware.Dowgin.I,,Artemis!B2C38C12CE62,,Android.Adware.Dowgin.I,AdWare.AndroidOS.AdDisplay,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,Artemis!B2C38C12CE62,Adware/ANDR.Dowgin.F.Gen,a variant of Android/AdDisplay.Dowgin.U,,,Trojan.Dex.AnZhi.daomal,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,Android/Deng.TZ,,,,,,,,,,,,,,,AdWare.AndroidOS.AdDisplay,,Adware:Android/Dowgin,,,,,,Adware/ANDR.Kuguo.K.Gen,a variant of Android/AdDisplay.Kuguo.F,,,,,,,,,,,,,,,,,,,,,
